upc,item,brand,segment,flavor,pack_type,total_sales,total_units,weeks_observed,promo_weeks,avg_aup,promo_week_pct
200068933576,CTL BR DRNK WTR BTL 35PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,2835095.979955662,574258.9307877076,60,0,4.985688560183439,0.0
200027707170,CTL BR DLS UTLT DRNK WTR BTL 24PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,2811280.108860326,776755.5136343893,36,0,3.618236277324909,0.0
7514040001,CRYS GYS CG RXN SRC ALPN SPRN SPRN WTR BTL 40PK 16.9 FL OZ,CRYSTAL GEYSER (CG ROXANE LLC),SUW,UNFLAVORED,MULTI PACK,2785699.837967726,451127.69595011865,60,4,6.200999530337595,0.06666666666666667
4900004805,DSN DRNK WTR BTL 32PK 16.9 FL OZ,DASANI (COCA-COLA COMPANY),SUW,UNFLAVORED,MULTI PACK,2779382.6429871456,457949.7644748055,60,25,6.123673504463293,0.4166666666666667
78616200281,GLC SMR WTR PRLY BLNC PH ELCT TST DSTL BTL 6PK 33.8 FL OZ,"GLACEAU SMART WATER (ENERGY BRANDS, INC.)",SUW,UNFLAVORED,MULTI PACK,2571354.411799517,210385.3957356625,60,25,12.25424107678179,0.4166666666666667
200029469351,CTL BR DRNK WTR BTL 28PK 20 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,2450118.9594998322,499477.157765405,60,6,4.906528558808008,0.1
200054827538,CTL BR DRNK WTR BTL 24PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,2410844.918732336,661440.28643938,60,0,3.650756448030613,0.0
7929860007,EVN CCHT FRNC NTRL ELCT MD BY FRNC ALPS 7.2 PH BLNC SPRN WTR BTL 6PK 33.8 FL OZ,EVIAN (EVIAN WATERS OF FRANCE INC),SUW,UNFLAVORED,MULTI PACK,2410766.636533834,179384.23016095266,60,26,13.481443520334603,0.43333333333333335
200039811528,CTL BR DRNK WTR BTL 24PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,2385728.427906694,790988.4477180382,60,17,3.1155928785126097,0.2833333333333333
65722700033,ESNT ALKL WTR 9.5 PH HGHR ENHN WTH ELCT DRNK WTR BTL 33.8 FL OZ,"ESSENTIA (NESTLE USA, INC)",SUW,UNFLAVORED,SINGLE PACK,2362569.723658196,1075174.05817637,60,32,2.213115613360254,0.5333333333333333
200070476433,CTL BR DRNK WTR BTL 32PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,2350596.5571511625,486310.3647594042,60,1,4.832900362124518,0.016666666666666666
200058990554,CTL BR DRNK WTR BTL 128 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,SINGLE PACK,2339214.6829297277,1714640.9856263595,60,0,1.3641660041760388,0.0
2754101032,NGR DRNK WTR BTL 40PK 16.9 FL OZ,NIAGARA (NIAGARA DRINKING WATERS INC),SUW,UNFLAVORED,MULTI PACK,2332687.9895393206,429181.0505090102,60,1,5.463629138360483,0.016666666666666666
7720800035,MNT VLY OUCH MNTN SPRN WTR BTL 12PK 33.8 FL OZ,THE MOUNTAIN VALLEY (PRIMO BRANDS CORPORATION),SUW,UNFLAVORED,MULTI PACK,2293259.631750912,63916.53608767474,60,3,35.96909099445033,0.05
78616200369,GLC SMR WTR PRLY BLNC PH ELCT TST DSTL BTL 6PK 16.9 FL OZ,"GLACEAU SMART WATER (ENERGY BRANDS, INC.)",SUW,UNFLAVORED,MULTI PACK,2279493.6501816344,303564.7669726536,60,23,7.5204024758521575,0.38333333333333336
4900000977,DSN DRNK WTR BTL 20 FL OZ,DASANI (COCA-COLA COMPANY),SUW,UNFLAVORED,SINGLE PACK,2234331.6501935753,920410.4364056896,60,0,2.428053422502778,0.0
7720800033,MNT VLY SPRN WTR BTL 33.8 FL OZ,THE MOUNTAIN VALLEY (PRIMO BRANDS CORPORATION),SUW,UNFLAVORED,SINGLE PACK,2185169.155100629,659179.0194268266,60,4,3.3182664198481993,0.06666666666666667
78616215000,GLC VTM WTR AC BLBR PMGR NTRN ENHN BVRG BTL 20 FL OZ,"GLACEAU VITAMIN WATER (ENERGY BRANDS, INC.)",SFW,ACAI BLUEBERRY POMEGRANATE,SINGLE PACK,2174281.392740023,1191081.0151297715,60,15,1.8320644665055186,0.25
65722700050,ESNT 9 5 PH HGHR ELCT TST DRNK WTR BTL 50.7 FL OZ,"ESSENTIA (NESTLE USA, INC)",SUW,UNFLAVORED,SINGLE PACK,2108419.003967893,784863.9839368883,60,42,2.6994557155704997,0.7
78616201000,GLC VTM WTR DRGN FLVR PLS OTHR NTRL FLVR NTRN ENHN BVRG BTL 20 FL OZ,"GLACEAU VITAMIN WATER (ENERGY BRANDS, INC.)",SFW,DRAGONFRUIT,SINGLE PACK,2098067.5511423755,1147614.9896455498,60,15,1.8334840868002273,0.25
200042757702,CTL BR DRNK WTR BTL 32PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,2079645.3633490568,550538.7259817026,60,0,3.793677303296286,0.0
78616208000,GLC VTM WTR TRPC CTRS ELCT FLVR PLS OTHR NTRL FLVR NTRN ENHN BVRG BTL 20 FL OZ,"GLACEAU VITAMIN WATER (ENERGY BRANDS, INC.)",SFW,TROPICAL CITRUS,SINGLE PACK,2048493.497416333,1143904.9356938316,60,15,1.7965062043132982,0.25
65722700210,ESNT 9 5 PH HGHR ELCT TST DRNK WTR BTL 6PK 33.8 FL OZ,"ESSENTIA (NESTLE USA, INC)",SUW,UNFLAVORED,MULTI PACK,2015874.7395059105,174016.04609392304,48,29,11.605121868607108,0.6041666666666666
