segment,total_sales,total_units,unique_upcs,unique_brands,avg_aup,pure_price_promo_share,sales_share
SUW,366450672.1866845,112530859.64860535,1350,178,4.966919172286271,0.1345749871809716,0.9076705302054351
SFW,37275856.31892307,12675355.677109728,553,82,5.219555103010537,0.2539884550702241,0.09232946979456498
