upc,week_ending,sub_group,own_lift,peer_net_change,cannibalization_rate
6827473413,2025-04-12,PURE LIFE (PRIMO BRANDS CORPORATION)|16.9 FLUID OUNCE|MULTI PACK,20.2437422851061,3171.5292329602644,-156.66714129697496
7114200052,2025-04-12,ARROWHEAD (PRIMO BRANDS CORPORATION)|128 FLUID OUNCE|SINGLE PACK,3170.7799918032633,0.0,-0.0
7114200408,2025-04-12,ARROWHEAD (PRIMO BRANDS CORPORATION)|16.9 FLUID OUNCE|MULTI PACK,427.77740738160765,779.0071299411807,-1.8210572052166638
7114200948,2025-04-12,ARROWHEAD (PRIMO BRANDS CORPORATION)|8 FLUID OUNCE|MULTI PACK,1050.2251062582282,0.8856240296975031,-0.0008432706706591976
7514000505,2025-04-12,CRYSTAL GEYSER (CG ROXANE LLC)|33.8 FLUID OUNCE|SINGLE PACK,1170.9819366736383,34.042770791067994,-0.02907198627484548
7514012526,2025-04-12,CRYSTAL GEYSER (CG ROXANE LLC)|33.8 FLUID OUNCE|MULTI PACK,112.69263361484718,7.8519323445015585,-0.06967564864387969
63256500005,2025-04-12,FIJI (NATURAL WATERS OF VITI LIMITED)|33.8 FLUID OUNCE|MULTI PACK,44.08165550805563,50.040665663372714,-1.135181178806411
63256500010,2025-04-12,FIJI (NATURAL WATERS OF VITI LIMITED)|33.8 FLUID OUNCE|MULTI PACK,314.22843082538543,50.040665663372714,-0.15924932550479484
70389900024,2025-04-12,"SEDONA (IMAGE BRANDS, INC.)|16.9 FLUID OUNCE|SINGLE PACK",37.32579504304948,-0.08048656786839103,0.0021563256127716058
85589100602,2025-04-12,CFORCE (CFORCE BOTTLING CO)|33.8 FLUID OUNCE|SINGLE PACK,66.73299570368843,8.668178523380782,-0.1298934422466168
200027475064,2025-04-12,PRIVATE LABEL|16.9 FLUID OUNCE|MULTI PACK,0.7375493416603991,40345.13536479249,-54701.608537763714
200028430219,2025-04-12,PRIVATE LABEL|128 FLUID OUNCE|SINGLE PACK,71.90720480693238,-591.3418341553671,8.223679890535216
200028969385,2025-04-12,PRIVATE LABEL|128 FLUID OUNCE|SINGLE PACK,59.18208489401542,-591.3418341553671,9.991906084659828
200029309153,2025-04-12,PRIVATE LABEL|128 FLUID OUNCE|SINGLE PACK,587.0511204739519,-591.3418341553671,1.0073089268238704
200029999708,2025-04-12,PRIVATE LABEL|16.9 FLUID OUNCE|MULTI PACK,86.11635067549611,40345.13536479249,-468.4956462776872
200030007502,2025-04-12,PRIVATE LABEL|128 FLUID OUNCE|SINGLE PACK,89.58945235539966,-591.3418341553671,6.600574270836318
200030851440,2025-04-12,PRIVATE LABEL|16.9 FLUID OUNCE|SINGLE PACK,4.737522123226317,594.0085431211872,-125.38380353074938
200031445118,2025-04-12,PRIVATE LABEL|16.9 FLUID OUNCE|SINGLE PACK,27.767004201562827,594.0085431211872,-21.392604647200447
200031861732,2025-04-12,PRIVATE LABEL|128 FLUID OUNCE|SINGLE PACK,447.7168551446016,-591.3418341553671,1.3207942192937503
200033562635,2025-04-12,PRIVATE LABEL|16.9 FLUID OUNCE|MULTI PACK,87.82770037487431,40345.13536479249,-459.3668648113028
200037913222,2025-04-12,PRIVATE LABEL|33.8 FLUID OUNCE|SINGLE PACK,238.71460289861307,127.82329324654899,-0.5354649095381824
200044951215,2025-04-12,PRIVATE LABEL|8 FLUID OUNCE|MULTI PACK,0.0822137354199114,592.208245800209,-7203.2762259915735
200055556158,2025-04-12,PRIVATE LABEL|16.9 FLUID OUNCE|SINGLE PACK,33.71414304572877,594.0085431211872,-17.6189720235657
200068238756,2025-04-12,PRIVATE LABEL|128 FLUID OUNCE|SINGLE PACK,140.02070509242003,-591.3418341553671,4.223245653312877
200068933870,2025-04-12,PRIVATE LABEL|128 FLUID OUNCE|SINGLE PACK,1004.1010106255026,-591.3418341553671,0.5889266397481185
200082617061,2025-04-12,PRIVATE LABEL|16.9 FLUID OUNCE|MULTI PACK,2.7090200714306976,40345.13536479249,-14892.889052492428
200151267520,2025-04-12,PRIVATE LABEL|20 FLUID OUNCE|SINGLE PACK,433.9330053017485,-30.006611409811455,0.06915033206323047
200174201286,2025-04-12,PRIVATE LABEL|16.9 FLUID OUNCE|SINGLE PACK,122.54648714180547,594.0085431211872,-4.847209879087161
200179644649,2025-04-12,PRIVATE LABEL|33.8 FLUID OUNCE|MULTI PACK,66.48978500725197,-27.658093290328193,0.4159750747774497
200180557599,2025-04-12,PRIVATE LABEL|16.9 FLUID OUNCE|MULTI PACK,1.4571486461298175,40345.13536479249,-27687.72799669344
357582839715,2025-04-12,SARATOGA (PRIMO BRANDS CORPORATION)|28 FLUID OUNCE|SINGLE PACK,12.034300099097841,-2093.1034613416864,173.92814240178348
357582850410,2025-04-12,SARATOGA (PRIMO BRANDS CORPORATION)|12 FLUID OUNCE|MULTI PACK,0.8161614503006058,-0.41517453123236514,0.5086916701094489
617582810812,2025-04-12,CRYSTAL GEYSER (CG ROXANE LLC)|128 FLUID OUNCE|SINGLE PACK,569.4496730484261,-5717.494733415602,10.040386366029901
4900004805,2025-04-19,DASANI (COCA-COLA COMPANY)|16.9 FLUID OUNCE|MULTI PACK,2279.0846963231234,-73.81562770477603,0.03238827755013394
6827419514,2025-04-19,PURE LIFE (PRIMO BRANDS CORPORATION)|8 FLUID OUNCE|MULTI PACK,232.06771117902713,763.6807848598289,-3.2907670825033146
6827473413,2025-04-19,PURE LIFE (PRIMO BRANDS CORPORATION)|16.9 FLUID OUNCE|MULTI PACK,21.484709220946414,2018.942724649354,-93.97114496113336
7096000017,2025-04-19,SARATOGA (PRIMO BRANDS CORPORATION)|16 FLUID OUNCE|MULTI PACK,61.025779174999116,1.6989892091590324,-0.027840516452677593
7114200052,2025-04-19,ARROWHEAD (PRIMO BRANDS CORPORATION)|128 FLUID OUNCE|SINGLE PACK,3499.5685287228025,0.0,-0.0
7114204126,2025-04-19,ARROWHEAD (PRIMO BRANDS CORPORATION)|16.9 FLUID OUNCE|MULTI PACK,29.00211094614665,-154.9652949866678,5.343241920369841
7514006500,2025-04-19,CRYSTAL GEYSER (CG ROXANE LLC)|50.7 FLUID OUNCE|MULTI PACK,60.609837580371845,1.5506456707978842,-0.025584059167649907
