category,niagara_personal_chars,niagara_personal_chars_alias,l1,l2,markets,generic_tag,retailers_name_tag,retailers_div_req,item,upc,brand,package_material_substance,package_general_shape,flavor,base_size,outer_pack_size,product_size,total_size,bp_concat_flavor,protein_presence_claim,bc_protein_total_store,pack_type,derived_outer_multipack_count,prc_acv,acv,tdp,avg_of_items,avg_eq_price,sales,units,eq,no_promo_unit_price,any_promo_unit_price,feat_n_disp_unit_price,feat_or_disp_unit_price,feat_wo_disp_unit_price,disp_wo_feat_unit_price,any_promo_prc_acv,no_promo_prc_acv,disp_wo_feat_prc_acv,feat_wo_disp_prc_acv,feat_n_disp_prc_acv,price_decr_only_prc_acv,any_promo_tdp,no_promo_tdp,disp_wo_feat_tdp,feat_wo_disp_tdp,feat_n_disp_tdp,price_decr_only_tdp,periods,week_ending,year,month,week_of_year,aup,median_baseprice,tpr_discount,seasonality_index,seasonality_peak_flag,seasonality_rolling_peak_flag,promo_flag,Holiday,Holiday_4th_of_July,Holiday_Juneteenth,Holiday_Martin_Luther_King_Jr_Day,Holiday_Thanksgiving_Day,Holiday_Independence_Day,Holiday_Halloween,Holiday_Washington_s_Birthday,Holiday_Valentine_s_Day,Holiday_Western_Easter,Holiday_Eastern_Easter,Holiday_Memorial_Day,Holiday_Veterans_Day,Holiday_Valentine_s_Day_n_Washington_s_Birthday,Holiday_New_Year_s_Day,Holiday_Labor_Day,Holiday_Eastern_Easter_n_Western_Easter,Holiday_Christmas_Day,Holiday_Columbus_Day,Holiday_clubbed
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,SRTG SPRN WTR BTL 16 FL OZ,007096095157,SARATOGA (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,16 FLUID OUNCE,NOT APPLICABLE,16 FLUID OUNCE,16 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,1 w/e 02/21/26,2026-02-21,2026,2,8,,2.9598040195980406,,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,SRTG SPRN WTR BTL 12PK 28 FL OZ,007096095160,SARATOGA (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,28 FLUID OUNCE,12 COUNT,28 FLUID OUNCE,28 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MULTI PACK,12,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,1 w/e 02/21/26,2026-02-21,2026,2,8,,14.948505149485051,,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,FMS RMN DRNK WTR JUG 128 FL OZ,007105100001,"RAMONA (FAMOUS RAMONA WATER, INC)",PLASTIC,JUG,UNFLAVORED,128 FLUID OUNCE,NOT APPLICABLE,1 GALLON,128 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,2.8936,2.8936,2.8936,1.0,2.9845,1200.29859863980707952,603.27300856092104072,402.18199848038683304,1.9896,1.99,,,,,0.0252,2.8684,0.0,0.0,0.0,0.0252,0.0252,2.8684,0.0,0.0,0.0,0.0252,1 w/e 02/21/26,2026-02-21,2026,2,8,1.9896441272966316,1.9896441272966316,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,RMN DRNK WTR CLR JUG 320 FL OZ,007105100015,"RAMONA (FAMOUS RAMONA WATER, INC)",PLASTIC,WATER COOLER JUG,UNFLAVORED,320 FLUID OUNCE,NOT APPLICABLE,2.5 GALLON,320 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,2.7706,2.7706,2.7706,1.0,2.6926,937.932302069061984,209.00179213424638232,348.33629131616852744,4.4877,,,,,,0.0,2.7706,0.0,0.0,0.0,0.0,0.0,2.7706,0.0,0.0,0.0,0.0,1 w/e 02/21/26,2026-02-21,2026,2,8,4.4876758830211738,4.4876758830211738,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,FMS RMN FRM PRTC SRC HGH CLFR MNTN DSTL WTR JUG 320 FL OZ,007105100062,"RAMONA (FAMOUS RAMONA WATER, INC)",PLASTIC,JUG,UNFLAVORED,320 FLUID OUNCE,NOT APPLICABLE,2.5 GALLON,320 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,2.8262,2.8262,2.8262,1.0,2.6909,939.42536388691003312,209.4666042666897408,349.111007111149568,4.4848,,,,,,0.0,2.8262,0.0,0.0,0.0,0.0,0.0,2.8262,0.0,0.0,0.0,0.0,1 w/e 02/21/26,2026-02-21,2026,2,8,4.48484553027292,4.48484553027292,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,FMS RMN FRM PRTC SRC HGH CLFR MNTN SPRN WTR JUG 128 FL OZ,007105100064,"RAMONA (FAMOUS RAMONA WATER, INC)",PLASTIC,JUG,UNFLAVORED,128 FLUID OUNCE,NOT APPLICABLE,1 GALLON,128 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,3.0085,3.0085,3.0085,1.0,2.9847,1970.43068560139512744,990.27404203259633352,660.18267300771597336,1.9898,,,,,,0.0,3.0085,0.0,0.0,0.0,0.0,0.0,3.0085,0.0,0.0,0.0,0.0,1 w/e 02/21/26,2026-02-21,2026,2,8,1.9897832336965724,1.9897832336965724,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,RMN MNTN SPRN WTR BTL 320 FL OZ,007105100065,"RAMONA (FAMOUS RAMONA WATER, INC)",PLASTIC,BOTTLE,UNFLAVORED,320 FLUID OUNCE,NOT APPLICABLE,2.5 GALLON,320 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,2.8819,2.8819,2.8819,1.0,2.6928,1562.57628367589958352,348.16900317707934632,580.28164305422346744,4.488,,,,,,0.0,2.8819,0.0,0.0,0.0,0.0,0.0,2.8819,0.0,0.0,0.0,0.0,1 w/e 02/21/26,2026-02-21,2026,2,8,4.4879821851377466,4.4879821851377466,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,RMN WTR BVRG JUG 128 FL OZ,007105100075,"RAMONA (FAMOUS RAMONA WATER, INC)",PLASTIC,JUG,UNFLAVORED,128 FLUID OUNCE,NOT APPLICABLE,1 GALLON,128 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,3.3442,3.3442,3.3442,1.0,3.0307,2064.33669871389255448,1021.72772445177871992,681.15177293982264864,2.0204,,,,,,0.0,3.3442,0.0,0.0,0.0,0.0,0.0,3.3442,0.0,0.0,0.0,0.0,1 w/e 02/21/26,2026-02-21,2026,2,8,2.0204371960460792,2.0204371960460792,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
VALUE ADD WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,FMS RMN WTH ELCT ADD PH 9 0 AT TM BTLN DRNK WTR BTL 33.8 FL OZ,007105101067,"RAMONA (FAMOUS RAMONA WATER, INC)",PLASTIC,BOTTLE,UNFLAVORED,33.8 FLUID OUNCE,NOT APPLICABLE,33.8 FLUID OUNCE,33.8 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,0.0252,0.0252,0.0252,1.0,13.0084,6.64948672197912632,2.90371536500169992,0.51114374898477632,2.29,,,,,,0.0,0.0252,0.0,0.0,0.0,0.0,0.0,0.0252,0.0,0.0,0.0,0.0,1 w/e 02/21/26,2026-02-21,2026,2,8,2.2899926081340394,2.2899926081340394,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH MNTN SPRN WTR BTL 33.8 FL OZ,007114200001,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,33.8 FLUID OUNCE,NOT APPLICABLE,33.8 FLUID OUNCE,33.8 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,27.8498,27.8498,27.8498,1.0,8.4237,4019.19764132444197944,2710.31826511700994,477.128927650274472,1.7267,1.3081,,,,,16.2236,11.8489,0.0,0.0,0.0,16.2236,16.2236,11.6262,0.0,0.0,0.0,16.2236,1 w/e 02/21/26,2026-02-21,2026,2,8,1.4829246044840141,1.4829246044840141,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH MNTN SPRN WTR JUG 128 FL OZ,007114200005,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,JUG,UNFLAVORED,128 FLUID OUNCE,NOT APPLICABLE,1 GALLON,128 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,0.4653,0.4653,0.4653,1.0,2.6063,1155.231269364180648,664.869537710137164,443.24638015410635832,2.2229,1.3575,,,,,0.1497,0.4653,0.0,0.0,0.0,0.1497,0.1497,0.3157,0.0,0.0,0.0,0.1497,1 w/e 02/21/26,2026-02-21,2026,2,8,1.7375307542933729,2.4744869829422016,29.782182477782804,0.88758955085595426,0,0,1,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH MNTN SPRN WTR JUG 320 FL OZ,007114200009,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,JUG,UNFLAVORED,320 FLUID OUNCE,NOT APPLICABLE,2.5 GALLON,320 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,67.5115,67.5115,67.5116,1.0,3.4152,58338.87245133082238992,10249.18906141948558952,17081.98176180558212176,5.7936,4.8484,,5.472,,5.472,9.2613,58.2738,0.179,0.0,0.0,9.0823,9.2613,58.2502,0.179,0.0,0.0,9.0823,1 w/e 02/21/26,2026-02-21,2026,2,8,5.6920476441334227,5.6920476441334227,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH DR CNYN SPRN WTR BTL 25 FL OZ,007114200011,ARROWHEAD (PRIMO BRANDS CORPORATION),ALUMINUM,BOTTLE,UNFLAVORED,25 FLUID OUNCE,NOT APPLICABLE,25 FLUID OUNCE,25 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,13.4704,13.4704,13.4705,1.0,18.8201,1428.92715298667237664,583.10975788254761752,75.92576858196622232,2.5197,2.418,,,,,10.4001,3.0824,0.0,0.0,0.0,10.4001,10.4001,3.0704,0.0,0.0,0.0,10.4001,1 w/e 02/21/26,2026-02-21,2026,2,8,2.4505286246204321,2.76943793772529,11.515308169960203,0.88758955085595426,0,0,1,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH DRNK WTR JUG 320 FL OZ,007114200012,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,JUG,UNFLAVORED,320 FLUID OUNCE,NOT APPLICABLE,2.5 GALLON,320 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,1 w/e 02/21/26,2026-02-21,2026,2,8,,23.987701229877015,,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH MNTN SPRN WTR BTL 8 FL OZ,007114200014,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,8 FLUID OUNCE,NOT APPLICABLE,8 FLUID OUNCE,8 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,0.9988,0.9988,0.9988,1.0,8.3972,57.20244037088258192,163.4894668691428328,6.81209183384652632,0.3499,,,,,,0.0,0.9988,0.0,0.0,0.0,0.0,0.0,0.9988,0.0,0.0,0.0,0.0,1 w/e 02/21/26,2026-02-21,2026,2,8,0.34988456116666822,0.44442703232811337,21.272889424882223,0.88758955085595426,0,0,1,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH ASRTD MNTN SPRN WTR BTL 50.7 FL OZ,007114200015,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,50.7 FLUID OUNCE,NOT APPLICABLE,50.7 FLUID OUNCE,50.7 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,27.6963,27.6963,27.6964,1.0,7.3141,4542.012816667473372,2351.7080841773826872,620.9979197044572628,2.2438,1.6451,,2.0177,,2.0177,14.2775,13.4189,0.4602,0.0,0.0,13.8173,14.2774,13.419,0.4602,0.0,0.0,13.8172,1 w/e 02/21/26,2026-02-21,2026,2,8,1.9313676077514736,1.9313676077514736,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH ASRTD MNTN SPRN WTR CAN 8PK 12 FL OZ,007114200037,ARROWHEAD (PRIMO BRANDS CORPORATION),ALUMINUM,CAN,UNFLAVORED,12 FLUID OUNCE,8 COUNT,12 FLUID OUNCE,12 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MULTI PACK,8,8.4545,8.4545,8.4545,1.0,6.9761,1078.38411517632899032,309.1665193638832,154.58328136262318232,3.9478,3.4804,,,,,8.055,0.3996,0.0,0.0,0.0,8.055,8.055,0.3996,0.0,0.0,0.0,8.055,1 w/e 02/21/26,2026-02-21,2026,2,8,3.4880365357643757,4.7162047890707655,26.0414529952669,0.88758955085595426,0,0,1,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH ASRTD MNTN SPRN WTR BTL 16.9 FL OZ,007114200050,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,16.9 FLUID OUNCE,NOT APPLICABLE,16.9 FLUID OUNCE,16.9 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,3.6344,3.6344,3.6345,1.0,7.7352,388.12732319919523448,570.0538465598087544,50.17662037799754504,0.6035,0.8167,,,,,1.4735,2.3716,0.0,0.0,0.0,1.4735,1.4735,2.1609,0.0,0.0,0.0,1.4735,1 w/e 02/21/26,2026-02-21,2026,2,8,0.68086080909985369,0.73958311159714429,7.9399193378657085,0.88758955085595426,0,0,1,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH MNTN SPRN WTR JUG 128 FL OZ,007114200052,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,JUG,UNFLAVORED,128 FLUID OUNCE,NOT APPLICABLE,1 GALLON,128 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,46.8249,46.8249,46.825,1.0,3.7253,25848.88040160074681368,10408.07311790691200792,6938.71544807241064248,2.7289,1.9717,,,,,13.5362,33.2888,0.0,0.0,0.0,13.5362,13.536,33.289,0.0,0.0,0.0,13.536,1 w/e 02/21/26,2026-02-21,2026,2,8,2.4835413922225609,2.4835413922225609,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH MNTN SPRN WTR BTL 40PK 16.9 FL OZ,007114200056,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,16.9 FLUID OUNCE,40 COUNT,16.9 FLUID OUNCE,16.9 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MULTI PACK,40,0.6159,0.6159,0.6159,1.0,1.84,3793.776722136999344,585.5952095384632,2061.78312635644532256,6.4785,,,,,,0.0,0.6159,0.0,0.0,0.0,0.0,0.0,0.6159,0.0,0.0,0.0,0.0,1 w/e 02/21/26,2026-02-21,2026,2,8,6.4784968530174005,6.4784968530174005,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH MNTN SPRN WTR BTL 6PK 16.9 FL OZ,007114200126,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,16.9 FLUID OUNCE,6 COUNT,16.9 FLUID OUNCE,16.9 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MULTI PACK,6,28.9613,28.9613,28.9613,1.0,5.9469,7462.8833461814077268,2376.1814543543213264,1254.92082109557775824,3.4831,2.6036,,2.7459,2.7459,,14.2464,14.7274,0.0,3.2097,0.0,11.0367,14.2463,14.7151,0.0,3.2097,0.0,11.0366,1 w/e 02/21/26,2026-02-21,2026,2,8,3.1407043146918654,3.1407043146918654,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH MNTN SPRN WTR BTL 24PK 16.9 FL OZ,007114200400,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,16.9 FLUID OUNCE,24 COUNT,16.9 FLUID OUNCE,16.9 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MULTI PACK,24,49.4836,49.4836,49.4836,1.0,2.6902,100619.37218477146561368,17705.40395028252966,37402.66584226175870896,6.754,5.0908,6.9953,6.1329,6.509,5.7101,28.6338,21.1217,2.9451,6.8612,1.3337,17.4939,28.6335,20.85,2.945,6.8611,1.3337,17.4937,1 w/e 02/21/26,2026-02-21,2026,2,8,5.6829752355447312,5.6829752355447312,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH ASRTD MNTN SPRN WTR BTL 32PK 16.9 FL OZ,007114200408,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,16.9 FLUID OUNCE,32 COUNT,16.9 FLUID OUNCE,16.9 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MULTI PACK,32,9.6623,9.6623,9.6623,1.0,2.7751,19844.943583654433888,2538.80783497035358232,7150.97532631212174512,7.8253,7.7832,,8.0742,,8.0742,1.9554,7.707,1.1184,0.0,0.0,0.837,1.9554,7.707,1.1184,0.0,0.0,0.837,1 w/e 02/21/26,2026-02-21,2026,2,8,7.8166387035299856,7.8166387035299856,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH MNTN SPRN WTR BTL 35PK 16.9 FL OZ,007114200463,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,16.9 FLUID OUNCE,35 COUNT,16.9 FLUID OUNCE,16.9 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MULTI PACK,35,17.1928,17.1928,17.1928,1.0,2.2653,53845.486021266165936,7715.5041547002184,23769.37873822115047112,6.9789,,,,,,0.0,17.1928,0.0,0.0,0.0,0.0,0.0,17.1928,0.0,0.0,0.0,0.0,1 w/e 02/21/26,2026-02-21,2026,2,8,6.9788681260010685,6.9788681260010685,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH MNTN SPRN WTR BTL BP 28PK 16.9 FL OZ,007114200473,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,16.9 FLUID OUNCE,28 COUNT,16.9 FLUID OUNCE,16.9 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MULTI PACK,28,0.0927,0.0927,0.0927,1.0,2.0407,55.3902389201427824,11.0133526301869136,27.14330275243818256,5.0294,,,,,,0.0,0.0927,0.0,0.0,0.0,0.0,0.0,0.0927,0.0,0.0,0.0,0.0,1 w/e 02/21/26,2026-02-21,2026,2,8,5.0293712350879956,5.0293712350879956,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH MNTN SPRN WTR BTL 20 FL OZ,007114200858,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,20 FLUID OUNCE,NOT APPLICABLE,20 FLUID OUNCE,20 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SINGLE PACK,1,4.5196,4.5196,4.5196,1.0,15.9826,819.358486427195672,492.151471918664,51.26574941728539024,1.6465,1.7453,,,,,0.5934,3.9262,0.0,0.0,0.0,0.5934,0.5934,3.9262,0.0,0.0,0.0,0.5934,1 w/e 02/21/26,2026-02-21,2026,2,8,1.6648502202643172,1.8083278464115904,7.9342706817232989,0.88758955085595426,0,0,1,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH MNTN SPRN WTR BTL 12PK 8 FL OZ,007114200948,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,8 FLUID OUNCE,12 COUNT,8 FLUID OUNCE,8 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MULTI PACK,12,57.7129,57.7129,57.7129,1.0,6.128,19734.8007346594843544,6440.82601032753299592,3220.4129943234257068,3.1788,2.8812,,2.8475,2.8512,2.48,19.7685,37.9612,0.0263,3.1229,0.0,16.6193,19.7685,37.9443,0.0263,3.1229,0.0,16.6193,1 w/e 02/21/26,2026-02-21,2026,2,8,3.064017053560482,3.3170399926068073,7.6279737238705625,0.88758955085595426,0,0,1,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH MNTN SPRN WTR BTL 12PK 16.9 FL OZ,007114201205,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,16.9 FLUID OUNCE,12 COUNT,16.9 FLUID OUNCE,16.9 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MULTI PACK,12,20.396,20.396,20.396,1.0,3.8601,5892.58813280311791832,1445.23425595813278232,1526.52865995555783,4.0646,4.5703,,5.2632,,5.2632,0.7756,19.6204,0.0548,0.0,0.0,0.7208,0.7756,19.6205,0.0548,0.0,0.0,0.7208,1 w/e 02/21/26,2026-02-21,2026,2,8,4.0772546793091111,4.0772546793091111,0.0,0.88758955085595426,0,0,0,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
WATER,PC_Total SUW,PC_Total SUW,Census Divisions,xAOC,Pacific Division xAOC,Census Divisions,Census Divisions_xAOC,,ARWH MNTN SPRN WTR BTL 12PK 8 FL OZ,007114203929,ARROWHEAD (PRIMO BRANDS CORPORATION),PLASTIC,BOTTLE,UNFLAVORED,8 FLUID OUNCE,12 COUNT,8 FLUID OUNCE,8 FLUID OUNCE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MULTI PACK,12,2.1279,2.1279,2.1279,1.0,27.2985,216.94596243759532976,15.8943244748146152,7.9471622374073076,13.6493,,,,,,0.0,2.1279,0.0,0.0,0.0,0.0,0.0,2.1279,0.0,0.0,0.0,0.0,1 w/e 02/21/26,2026-02-21,2026,2,8,13.649272278375685,14.360332655936302,4.9515592333209462,0.88758955085595426,0,0,1,No Holiday,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
